candidate_id,R1,R2,R3,ligand_smiles,phase,status,pareto,representative_tradeoff,homo_energy_eV,lumo_energy_eV,homo_lumo_gap_eV,phosphorus_partial_charge,molecular_volume_ang3,heavy_atom_count,donor_homo_error,gap_error,steric_excess,heavy_atom_count,error
P_0001,Me,Me,Me,CP(C)C,warm_start,success,True,True,-4.983509320951737,0.910222740255155,5.893732061206893,0.35112000399533017,88.20000000000002,4.0,0.8164906790482629,0.8937320612068929,0.0,4.0,
P_0002,Me,Me,Ph,CP(C)c1ccccc1,warm_start,success,False,False,-4.879291251861448,-1.10910048591711,3.7701907659443386,0.3567387021822519,143.09600000000003,9.0,0.9207087481385514,1.2298092340556614,0.0,9.0,
P_0003,Me,Ph,Ph,CP(c1ccccc1)c1ccccc1,warm_start,success,False,False,-4.9237120072505105,-1.3562556302211657,3.567456377029344,0.35268695402818473,197.71200000000005,14.0,0.8762879927494893,1.4325436229706558,0.0,14.0,
P_0004,Ph,Ph,Ph,P(c1ccccc1)(c1ccccc1)c1ccccc1,warm_start,success,False,False,-4.8796974126735435,-1.5238998102396677,3.3557976024338756,0.33693090174973683,251.99200000000005,19.0,0.9203025873264563,1.6442023975661244,0.0,19.0,
P_0005,tBu,tBu,Ph,CC(C)(C)P(C(C)(C)C)c1ccccc1,warm_start,success,False,False,-4.844177977855188,-1.240600934191111,3.6035770436640773,0.316878290046958,243.63200000000006,15.0,0.9558220221448117,1.3964229563359227,0.0,15.0,
P_0246,Cy,Cy,Cy,P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,warm_start,success,True,False,-4.937164872683513,0.33692035940069576,5.274085232084209,0.2991288383220816,308.56000000000006,19.0,0.8628351273164867,0.2740852320842091,0.0,19.0,
P_0330,pOMePh,pOMePh,pOMePh,P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(OC)cc1,warm_start,success,False,False,-4.372758096373285,-1.2991677965855706,3.0735902997877136,0.3260097151864638,331.2320000000001,25.0,1.4272419036267152,1.9264097002122864,0.0,25.0,
P_0361,pCF3Ph,pCF3Ph,pCF3Ph,P(c1ccc(C(F)(F)F)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,warm_start,success,True,False,-5.714810386079064,-2.571055142981077,3.1437552430979863,0.35006792861983804,352.1840000000001,31.0,0.08518961392093605,1.8562447569020137,2.1840000000000828,31.0,
P_0006,Me,Me,Et,P(C)(C)CC,bo,success,True,True,-4.9899958311989385,0.8259960044109047,5.815991835609844,0.34374664597666715,105.13600000000002,5.0,0.8100041688010613,0.8159918356098439,0.0,5.0,
P_0007,Me,Me,iPr,P(C)(C)C(C)C,bo,success,True,True,-4.991842799684797,0.8066052656290162,5.798448065313813,0.3405967208714529,121.80800000000004,6.0,0.8081572003152031,0.7984480653138126,0.0,6.0,
P_0009,Me,Me,Cy,P(C)(C)C1CCCCC1,bo,success,False,False,-4.991837556873184,0.7716716024283188,5.7635091593015035,0.3346828897476577,161.24000000000004,9.0,0.8081624431268155,0.7635091593015035,0.0,9.0,
P_0008,Me,Me,tBu,P(C)(C)C(C)(C)C,bo,success,True,True,-5.0319232869082375,0.7572534190143814,5.7891767059226185,0.329128654779435,139.35200000000003,7.0,0.7680767130917623,0.7891767059226185,0.0,7.0,
P_0010,Me,Me,pMePh,P(C)(C)c1ccc(C)cc1,bo,success,False,False,-4.760933400909941,-1.060396132840688,3.700537268069253,0.35460179944485404,159.80800000000005,10.0,1.0390665990900585,1.2994627319307468,0.0,10.0,
P_0012,Me,Me,pFPh,P(C)(C)c1ccc(F)cc1,bo,success,False,False,-4.917053171025392,-1.3492039678727563,3.567849203152636,0.3566317100535148,148.29600000000005,10.0,0.8829468289746076,1.4321507968473641,0.0,10.0,
P_0017,Me,Et,iPr,P(C)(CC)C(C)C,bo,success,True,True,-4.981276426413817,0.737814193914472,5.719090620328289,0.33263554765493986,138.84000000000003,7.0,0.8187235735861824,0.7190906203282887,0.0,7.0,
P_0186,iPr,pMePh,pCNPh,P(C(C)C)(c1ccc(C)cc1)c1ccc(C#N)cc1,bo,success,True,False,-5.434036990859517,-2.18650446436111,3.2475325264984076,0.3260612885676881,266.33600000000007,19.0,0.36596300914048285,1.7524674735015924,0.0,19.0,
P_0019,Me,Et,Cy,P(C)(CC)C1CCCCC1,bo,success,False,False,-5.00077905910192,0.6896009791611556,5.690380038263076,0.3274279552262911,178.43200000000004,10.0,0.7992209408980795,0.6903800382630756,0.0,10.0,
P_0346,pFPh,pFPh,pClPh,P(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(Cl)cc1,bo,success,False,False,-5.203496234816994,-1.9316833275563374,3.271812907260656,0.29474459971736877,279.14400000000006,22.0,0.5965037651830061,1.728187092739344,0.0,22.0,
P_0029,Me,iPr,Cy,P(C)(C(C)C)C1CCCCC1,bo,success,True,True,-5.027440631941581,0.7153112252041522,5.742751857145734,0.324379953198628,195.10400000000004,11.0,0.7725593680584186,0.7427518571457341,0.0,11.0,
P_0364,pCNPh,pCNPh,pCNPh,P(c1ccc(C#N)cc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1,bo,success,False,False,-5.953994260640433,-3.0602151378573446,2.893779122783088,0.354743664378967,307.12000000000006,25.0,0.15399426064043276,2.106220877216912,0.0,25.0,
P_0038,Me,tBu,Cy,P(C)(C(C)(C)C)C1CCCCC1,bo,success,False,False,-4.978370853325076,0.6935999128233757,5.671970766148451,0.32235186937046656,212.16000000000005,12.0,0.8216291466749235,0.6719707661484513,0.0,12.0,
P_0247,Cy,Cy,Ph,P(C1CCCCC1)(C1CCCCC1)c1ccccc1,bo,success,False,False,-4.929594993048371,-1.3666514532478926,3.5629435398004787,0.2970052964214407,289.46400000000006,19.0,0.8704050069516285,1.4370564601995213,0.0,19.0,
P_0027,Me,iPr,iPr,P(C)(C(C)C)C(C)C,bo,success,True,True,-5.050186784547005,0.6969774554543727,5.747164240001378,0.3371476065718433,155.29600000000005,8.0,0.7498132154529946,0.7471642400013776,0.0,8.0,
P_0011,Me,Me,pOMePh,P(C)(C)c1ccc(OC)cc1,bo,success,False,False,-4.575359474265785,-1.0734572469352872,3.5019022273304974,0.3512317653650605,169.32800000000003,11.0,1.2246405257342152,1.4980977726695026,0.0,11.0,
P_0199,iPr,pCF3Ph,pCF3Ph,P(C(C)C)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,bo,success,True,False,-5.684726955902684,-2.4449142854457557,3.239812670456928,0.32298624803216924,297.6160000000001,24.0,0.1152730440973162,1.760187329543072,0.0,24.0,
P_0191,iPr,pOMePh,pCNPh,P(C(C)C)(c1ccc(OC)cc1)c1ccc(C#N)cc1,bo,success,False,False,-4.576773428525946,-2.5901063112863723,1.9866671172395727,0.24449281915198817,276.26400000000007,20.0,1.2232265714740542,3.0133328827604275,0.0,20.0,
P_0026,Me,Et,pCNPh,P(C)(CC)c1ccc(C#N)cc1,bo,success,False,False,-5.074613362881022,-2.524019289136298,2.5505940737447244,0.2846731122134738,178.24000000000004,12.0,0.7253866371189774,2.4494059262552756,0.0,12.0,
P_0258,Cy,Ph,pClPh,P(C1CCCCC1)(c1ccccc1)c1ccc(Cl)cc1,bo,success,False,False,-5.078124587686523,-1.7038681747241862,3.3742564129623367,0.29990919956585316,286.14400000000006,20.0,0.7218754123134765,1.6257435870376633,0.0,20.0,
P_0263,Cy,pMePh,pFPh,P(C1CCCCC1)(c1ccc(C)cc1)c1ccc(F)cc1,bo,success,False,False,-4.882936749604475,-1.4063628210113475,3.476573928593128,0.29685145786969436,293.1840000000001,21.0,0.9170632503955245,1.5234260714068721,0.0,21.0,
P_0197,iPr,pClPh,pCF3Ph,P(C(C)C)(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1,bo,success,True,False,-5.440139686011139,-1.9860789586792105,3.454060727331928,0.3031735165024916,279.9680000000001,21.0,0.359860313988861,1.5459392726680719,0.0,21.0,
P_0249,Cy,Cy,pOMePh,P(C1CCCCC1)(C1CCCCC1)c1ccc(OC)cc1,bo,success,False,False,-4.783943381472236,-1.1512956807464247,3.6326477007258107,0.29443458293122937,316.2320000000001,21.0,1.016056618527764,1.3673522992741893,0.0,21.0,
P_0185,iPr,pMePh,pCF3Ph,P(C(C)C)(c1ccc(C)cc1)c1ccc(C(F)(F)F)cc1,bo,success,False,False,-4.928616808004658,-2.0979366826497077,2.8306801253549505,0.29876820843858987,281.12000000000006,21.0,0.8713831919953421,2.1693198746450495,0.0,21.0,
P_0266,Cy,pMePh,pCNPh,P(C1CCCCC1)(c1ccc(C)cc1)c1ccc(C#N)cc1,bo,success,False,False,-4.817735361213874,-2.4162110135405728,2.401524347673301,0.27510844792469413,306.31200000000007,22.0,0.982264638786126,2.598475652326699,0.0,22.0,
P_0192,iPr,pFPh,pFPh,P(C(C)C)(c1ccc(F)cc1)c1ccc(F)cc1,bo,success,True,False,-5.258559620609498,-1.6253281177691792,3.6332315028403186,0.316766793468652,242.45600000000005,18.0,0.5414403793905018,1.3667684971596814,0.0,18.0,
P_0015,Me,Me,pCNPh,P(C)(C)c1ccc(C#N)cc1,bo,success,True,False,-5.385077222646876,-2.2539277577134813,3.131149464933395,0.3686999111793998,161.36800000000005,11.0,0.4149227773531239,1.868850535066605,0.0,11.0,
P_0210,tBu,Cy,Cy,P(C(C)(C)C)(C1CCCCC1)C1CCCCC1,bo,success,True,True,-4.865599401959553,0.41019029833292475,5.275789700292478,0.30145140340945353,285.07200000000006,17.0,0.9344005980404466,0.27578970029247785,0.0,17.0,
P_0032,Me,iPr,pOMePh,P(C)(C(C)C)c1ccc(OC)cc1,bo,success,False,False,-4.603668398176422,-1.202194485012067,3.4014739131643554,0.2733947334641016,202.59200000000004,13.0,1.1963316018235775,1.5985260868356446,0.0,13.0,
P_0034,Me,iPr,pClPh,P(C)(C(C)C)c1ccc(Cl)cc1,bo,success,False,False,-4.9126391828976415,-1.4167896900286723,3.4958494928689685,0.3058148565236003,192.54400000000004,12.0,0.8873608171023584,1.5041505071310315,0.0,12.0,
P_0018,Me,Et,tBu,P(C)(CC)C(C)(C)C,bo,success,True,True,-5.021985233754913,0.6142661825541526,5.636251416309066,0.32110267085971245,155.78400000000005,8.0,0.7780147662450867,0.636251416309066,0.0,8.0,
P_0013,Me,Me,pClPh,P(C)(C)c1ccc(Cl)cc1,bo,success,False,False,-4.971024020273791,-1.3861699015269477,3.584854118746843,0.3586853525844109,159.12800000000004,10.0,0.8289759797262084,1.415145881253157,0.0,10.0,
P_0332,pOMePh,pOMePh,pClPh,P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(Cl)cc1,bo,success,False,False,-4.607872235758251,-1.5743390668511523,3.0335331689070983,0.32466458891675565,321.1280000000001,24.0,1.1921277642417492,1.9664668310929017,0.0,24.0,
P_0200,iPr,pCF3Ph,pCNPh,P(C(C)C)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1,bo,success,False,False,-5.18992328885758,-2.701458175165247,2.4884651136923335,0.30811474348961276,284.0640000000001,22.0,0.6100767111424199,2.5115348863076665,0.0,22.0,
P_0184,iPr,pMePh,pClPh,P(C(C)C)(c1ccc(C)cc1)c1ccc(Cl)cc1,bo,success,False,False,-4.035801235549876,-1.6337308692495962,2.402070366300279,0.22513478862513736,264.1120000000001,18.0,1.764198764450124,2.597929633699721,0.0,18.0,
P_0188,iPr,pOMePh,pFPh,P(C(C)C)(c1ccc(OC)cc1)c1ccc(F)cc1,bo,success,False,False,-4.829206168940045,-1.4926641159902792,3.3365420529497656,0.3030319886322417,263.08000000000004,19.0,0.9707938310599546,1.6634579470502344,0.0,19.0,
P_0045,Me,tBu,pCNPh,P(C)(C(C)(C)C)c1ccc(C#N)cc1,bo,success,False,False,-5.295116830529004,-2.316251681828981,2.978865148700023,0.3037057200858069,212.06400000000005,14.0,0.5048831694709959,2.021134851299977,0.0,14.0,
P_0256,Cy,Ph,pOMePh,P(C1CCCCC1)(c1ccccc1)c1ccc(OC)cc1,bo,success,False,False,-4.956161257040278,-1.4630166804101368,3.493144576630141,0.28464033257801447,297.0160000000001,21.0,0.843838742959722,1.506855423369859,0.0,21.0,
P_0025,Me,Et,pCF3Ph,P(C)(CC)c1ccc(C(F)(F)F)cc1,bo,success,True,True,-5.3930895907205665,-1.7960669281606079,3.5970226625599584,0.329321901010287,192.84800000000004,14.0,0.40691040927943334,1.4029773374400416,0.0,14.0,
P_0196,iPr,pClPh,pClPh,P(C(C)C)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,bo,success,False,False,-4.4439825540461175,-1.9108855446529522,2.5330970093931655,0.21945056881158465,262.4560000000001,18.0,1.3560174459538823,2.4669029906068345,0.0,18.0,
