candidate_id,R1,R2,R3,ligand_smiles
P_0301,Ph,pFPh,pCF3Ph,P(c1ccccc1)(c1ccc(F)cc1)c1ccc(C(F)(F)F)cc1
P_0302,Ph,pFPh,pCNPh,P(c1ccccc1)(c1ccc(F)cc1)c1ccc(C#N)cc1
P_0303,Ph,pClPh,pClPh,P(c1ccccc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
P_0304,Ph,pClPh,pCF3Ph,P(c1ccccc1)(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1
P_0305,Ph,pClPh,pCNPh,P(c1ccccc1)(c1ccc(Cl)cc1)c1ccc(C#N)cc1
P_0306,Ph,pCF3Ph,pCF3Ph,P(c1ccccc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
P_0307,Ph,pCF3Ph,pCNPh,P(c1ccccc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1
P_0308,Ph,pCNPh,pCNPh,P(c1ccccc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
P_0309,pMePh,pMePh,pMePh,P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C)cc1
P_0310,pMePh,pMePh,pOMePh,P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(OC)cc1
P_0311,pMePh,pMePh,pFPh,P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(F)cc1
P_0312,pMePh,pMePh,pClPh,P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(Cl)cc1
P_0313,pMePh,pMePh,pCF3Ph,P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C(F)(F)F)cc1
P_0314,pMePh,pMePh,pCNPh,P(c1ccc(C)cc1)(c1ccc(C)cc1)c1ccc(C#N)cc1
P_0315,pMePh,pOMePh,pOMePh,P(c1ccc(C)cc1)(c1ccc(OC)cc1)c1ccc(OC)cc1
P_0316,pMePh,pOMePh,pFPh,P(c1ccc(C)cc1)(c1ccc(OC)cc1)c1ccc(F)cc1
P_0317,pMePh,pOMePh,pClPh,P(c1ccc(C)cc1)(c1ccc(OC)cc1)c1ccc(Cl)cc1
P_0318,pMePh,pOMePh,pCF3Ph,P(c1ccc(C)cc1)(c1ccc(OC)cc1)c1ccc(C(F)(F)F)cc1
P_0319,pMePh,pOMePh,pCNPh,P(c1ccc(C)cc1)(c1ccc(OC)cc1)c1ccc(C#N)cc1
P_0320,pMePh,pFPh,pFPh,P(c1ccc(C)cc1)(c1ccc(F)cc1)c1ccc(F)cc1
P_0321,pMePh,pFPh,pClPh,P(c1ccc(C)cc1)(c1ccc(F)cc1)c1ccc(Cl)cc1
P_0322,pMePh,pFPh,pCF3Ph,P(c1ccc(C)cc1)(c1ccc(F)cc1)c1ccc(C(F)(F)F)cc1
P_0323,pMePh,pFPh,pCNPh,P(c1ccc(C)cc1)(c1ccc(F)cc1)c1ccc(C#N)cc1
P_0324,pMePh,pClPh,pClPh,P(c1ccc(C)cc1)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
P_0325,pMePh,pClPh,pCF3Ph,P(c1ccc(C)cc1)(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1
P_0326,pMePh,pClPh,pCNPh,P(c1ccc(C)cc1)(c1ccc(Cl)cc1)c1ccc(C#N)cc1
P_0327,pMePh,pCF3Ph,pCF3Ph,P(c1ccc(C)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
P_0328,pMePh,pCF3Ph,pCNPh,P(c1ccc(C)cc1)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1
P_0329,pMePh,pCNPh,pCNPh,P(c1ccc(C)cc1)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
P_0330,pOMePh,pOMePh,pOMePh,P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(OC)cc1
P_0331,pOMePh,pOMePh,pFPh,P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(F)cc1
P_0332,pOMePh,pOMePh,pClPh,P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(Cl)cc1
P_0333,pOMePh,pOMePh,pCF3Ph,P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(C(F)(F)F)cc1
P_0334,pOMePh,pOMePh,pCNPh,P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(C#N)cc1
P_0335,pOMePh,pFPh,pFPh,P(c1ccc(OC)cc1)(c1ccc(F)cc1)c1ccc(F)cc1
P_0336,pOMePh,pFPh,pClPh,P(c1ccc(OC)cc1)(c1ccc(F)cc1)c1ccc(Cl)cc1
