eval_in_export,param_candidate_id,obj_selectivity_proxy,obj_capacity_proxy,result_id,suggestion_id,created_at,phase,new_eval,candidate,selectivity_proxy,capacity_proxy_cm3_g,scalarized_desirability,best_so_far
22,pcu|N16|E177,0.67364626404707,1.68036,2812e933-e4ee-43a7-bec6-a1a3877c515c,fbb21dc4-8661-4ab5-990d-bb6fad4db19c,2026-08-12T16:36:10.963499+00:00,new,7,pcu_N16_E177,0.67364626404707,1.68036,0.3865628168606499,0.4869260841444052
23,pcu|N16|E192,0.8527291137536862,1.51832,d7b1ce5b-2b31-438e-8991-e872f0a624b1,91cc493a-ce5b-427a-add8-efd8a4811080,2026-08-12T16:36:12.663782+00:00,new,8,pcu_N16_E192,0.8527291137536862,1.51832,0.4275943712536448,0.4869260841444052
24,pcu|N16|E203,0.1529095364722174,3.4805,384d6629-f2f5-464d-b523-25ccdc158a3f,2c76e7d8-c62a-49db-b11c-5ee950240c95,2026-08-12T16:36:14.514467+00:00,new,9,pcu_N16_E203,0.1529095364722174,3.4805,0.21247967740060927,0.4869260841444052
25,pcu|N16|E213,0.3487444465503566,1.79858,91b81076-7f2f-490d-ac80-6b2ad77da06d,5dad2fca-a6b4-4722-a864-dafcf78235db,2026-08-12T16:36:17.382385+00:00,new,10,pcu_N16_E213,0.3487444465503566,1.79858,0.2675939462861709,0.4869260841444052
26,pcu|N16|E226,1.0,0.517023,2d44930d-fec8-4f4a-bd6e-561facc26b8c,f65f5bd9-b9a7-4c77-8b1d-28cc7e07d9b1,2026-08-12T16:36:22.496717+00:00,new,11,pcu_N16_E226,1.0,0.517023,0.305776387364493,0.4869260841444052
27,pcu|N16|E73,0.9811962609618274,1.12968,7d8914db-3983-430c-9763-6fc64f009492,bca39231-04be-4a93-9bf7-470f20aa2757,2026-08-12T16:36:24.274301+00:00,new,12,pcu_N16_E73,0.9811962609618274,1.12968,0.41327173811040935,0.4869260841444052
28,pcu|N16|E4,0.1447980031931525,3.63395,51214ed4-addb-42a1-be25-5ea1459291c5,01ec963a-b240-4fe9-8686-c1cf2c96c6b4,2026-08-12T16:36:26.334279+00:00,new,13,pcu_N16_E4,0.1447980031931525,3.63395,0.20922285434650817,0.4869260841444052
29,pcu|N16|E50,1.0,0.973386,dacf3d44-8608-41fa-97fb-73daf1281ffc,f5fcd53f-55e1-49af-ab7f-83c392a28306,2026-08-12T16:36:27.570207+00:00,new,14,pcu_N16_E50,1.0,0.973386,0.3938347543340465,0.4869260841444052
30,pcu|N16|E78,0.198518018440271,2.98888,7eb640bb-338b-4f45-aa6d-480945662057,d9805190-d431-4666-88f5-baacfcfed089,2026-08-12T16:36:29.623778+00:00,new,15,pcu_N16_E78,0.198518018440271,2.98888,0.23382091221221663,0.4869260841444052
31,pcu|N16|E56,0.0254594656561325,3.38387,72b77062-8af0-47e9-b4ee-29ae7bae430d,baaed249-fee8-4641-be3c-e8f072289ffe,2026-08-12T16:36:34.405157+00:00,new,16,pcu_N16_E56,0.0254594656561325,3.38387,0.07165970875185794,0.4869260841444052
