candidate_id,R1,R2,R3,ligand_smiles,phase,status,pareto,representative_tradeoff,homo_energy_eV,lumo_energy_eV,homo_lumo_gap_eV,phosphorus_partial_charge,molecular_volume_ang3,heavy_atom_count,donor_homo_error,gap_error,steric_excess,heavy_atom_count,error
P_0001,Me,Me,Me,CP(C)C,warm_start,success,True,True,-5.5775,-1.41,4.572500000000001,0.036000000000000004,88.20000000000002,4.0,0.22250000000000014,0.4274999999999993,0.0,4.0,
P_0002,Me,Me,Ph,CP(C)c1ccccc1,warm_start,success,True,True,-5.734999999999999,-1.3399999999999999,4.823,0.064,143.09600000000003,9.0,0.06500000000000039,0.1769999999999996,0.0,9.0,
P_0003,Me,Ph,Ph,CP(c1ccccc1)c1ccccc1,bo,success,True,True,-5.8925,-1.27,5.073500000000001,0.092,197.71200000000005,14.0,0.09250000000000025,0.07350000000000101,0.0,14.0,
