eval_index,successful_eval_count,latest_candidate_id,latest_phase,cumulative_pareto_count,normalized_hypervolume,best_donor_homo_error,best_gap_error,best_heavy_atom_count
1,1,P_0001,warm_start,1,0.7025077072088015,0.8164906790482629,0.8937320612068929,4.0
2,2,P_0002,warm_start,1,0.7025077072088015,0.8164906790482629,0.8937320612068929,4.0
3,3,P_0003,warm_start,1,0.7025077072088015,0.8164906790482629,0.8937320612068929,4.0
4,4,P_0004,warm_start,1,0.7025077072088015,0.8164906790482629,0.8937320612068929,4.0
5,5,P_0005,warm_start,1,0.7025077072088015,0.8164906790482629,0.8937320612068929,4.0
6,6,P_0246,warm_start,2,0.788783964323962,0.8164906790482629,0.2740852320842091,4.0
7,7,P_0330,warm_start,2,0.788783964323962,0.8164906790482629,0.2740852320842091,4.0
8,8,P_0361,warm_start,3,0.7910593519453598,0.08518961392093605,0.2740852320842091,4.0
9,9,P_0006,bo,4,0.8063390838160357,0.08518961392093605,0.2740852320842091,4.0
10,10,P_0007,bo,5,0.8098488837348753,0.08518961392093605,0.2740852320842091,4.0
11,11,P_0009,bo,6,0.8135761527778859,0.08518961392093605,0.2740852320842091,4.0
12,12,P_0008,bo,7,0.8373168116745676,0.08518961392093605,0.2740852320842091,4.0
13,13,P_0010,bo,7,0.8373168116745676,0.08518961392093605,0.2740852320842091,4.0
14,14,P_0012,bo,7,0.8373168116745676,0.08518961392093605,0.2740852320842091,4.0
15,15,P_0017,bo,8,0.8433351706772674,0.08518961392093605,0.2740852320842091,4.0
16,16,P_0186,bo,9,0.9224476977134772,0.08518961392093605,0.2740852320842091,4.0
17,17,P_0019,bo,10,0.9255086303433268,0.08518961392093605,0.2740852320842091,4.0
18,18,P_0346,bo,11,0.9259403827112486,0.08518961392093605,0.2740852320842091,4.0
19,19,P_0029,bo,12,0.9261892722719252,0.08518961392093605,0.2740852320842091,4.0
20,20,P_0364,bo,13,0.9449379255822108,0.08518961392093605,0.2740852320842091,4.0
21,21,P_0038,bo,14,0.9463043149993262,0.08518961392093605,0.2740852320842091,4.0
22,22,P_0247,bo,14,0.9463043149993262,0.08518961392093605,0.2740852320842091,4.0
23,23,P_0027,bo,14,0.953254247122961,0.08518961392093605,0.2740852320842091,4.0
24,24,P_0011,bo,14,0.953254247122961,0.08518961392093605,0.2740852320842091,4.0
25,25,P_0199,bo,14,0.9666192571889833,0.08518961392093605,0.2740852320842091,4.0
26,26,P_0191,bo,14,0.9666192571889833,0.08518961392093605,0.2740852320842091,4.0
27,27,P_0026,bo,15,0.9678882886877843,0.08518961392093605,0.2740852320842091,4.0
28,28,P_0258,bo,16,0.9682476360265571,0.08518961392093605,0.2740852320842091,4.0
29,29,P_0263,bo,16,0.9682476360265571,0.08518961392093605,0.2740852320842091,4.0
30,30,P_0197,bo,16,0.9768470533685916,0.08518961392093605,0.2740852320842091,4.0
31,31,P_0249,bo,16,0.9768470533685916,0.08518961392093605,0.2740852320842091,4.0
32,32,P_0185,bo,16,0.9768470533685916,0.08518961392093605,0.2740852320842091,4.0
33,33,P_0266,bo,16,0.9768470533685916,0.08518961392093605,0.2740852320842091,4.0
34,34,P_0192,bo,16,0.9858031689413482,0.08518961392093605,0.2740852320842091,4.0
35,35,P_0015,bo,16,1.0157591922945755,0.08518961392093605,0.2740852320842091,4.0
36,36,P_0210,bo,17,1.0227619297501165,0.08518961392093605,0.2740852320842091,4.0
37,37,P_0032,bo,17,1.0227619297501165,0.08518961392093605,0.2740852320842091,4.0
38,38,P_0034,bo,17,1.0227619297501165,0.08518961392093605,0.2740852320842091,4.0
39,39,P_0018,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
40,40,P_0013,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
41,41,P_0332,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
42,42,P_0200,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
43,43,P_0184,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
44,44,P_0188,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
45,45,P_0045,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
46,46,P_0256,bo,16,1.0282902636304132,0.08518961392093605,0.2740852320842091,4.0
47,47,P_0025,bo,17,1.0380057701994767,0.08518961392093605,0.2740852320842091,4.0
48,48,P_0196,bo,17,1.0380057701994767,0.08518961392093605,0.2740852320842091,4.0
