exit_code=0

=== stdout (raw) ===
144
| 59 | prop__Cy__Ph | propylene | Cy | Ph | Cy2P-propylene-PPh2 | no |
| 60 | prop__Cy__pTol | propylene | Cy | p-Tol | Cy2P-propylene-Pp-Tol2 | no |
| 61 | prop__Cy__pAnisyl | propylene | Cy | p-Anisyl | Cy2P-propylene-Pp-Anisyl2 | no |
| 62 | prop__Cy__pCF3Ph | propylene | Cy | p-CF3-Ph | Cy2P-propylene-Pp-CF3-Ph2 | no |
| 63 | prop__Ph__Ph | propylene | Ph | Ph | Ph2P-propylene-PPh2 | yes |
| 64 | prop__Ph__pTol | propylene | Ph | p-Tol | Ph2P-propylene-Pp-Tol2 | no |
| 65 | prop__Ph__pAnisyl | propylene | Ph | p-Anisyl | Ph2P-propylene-Pp-Anisyl2 | no |
| 66 | prop__Ph__pCF3Ph | propylene | Ph | p-CF3-Ph | Ph2P-propylene-Pp-CF3-Ph2 | no |
| 67 | prop__pTol__pTol | propylene | p-Tol | p-Tol | p-Tol2P-propylene-Pp-Tol2 | yes |
| 68 | prop__pTol__pAnisyl | propylene | p-Tol | p-Anisyl | p-Tol2P-propylene-Pp-Anisyl2 | no |
| 69 | prop__pTol__pCF3Ph | propylene | p-Tol | p-CF3-Ph | p-Tol2P-propylene-Pp-CF3-Ph2 | no |
| 70 | prop__pAnisyl__pAnisyl | propylene | p-Anisyl | p-Anisyl | p-Anisyl2P-propylene-Pp-Anisyl2 | yes |
| 71 | prop__pAnisyl__pCF3Ph | propylene | p-Anisyl | p-CF3-Ph | p-Anisyl2P-propylene-Pp-CF3-Ph2 | no |
| 72 | prop__pCF3Ph__pCF3Ph | propylene | p-CF3-Ph | p-CF3-Ph | p-CF3-Ph2P-propylene-Pp-CF3-Ph2 | yes |
| 73 | ophen__Me__Me | 1,2-phenylene | Me | Me | Me2P-1,2-phenylene-PMe2 | yes |
| 74 | ophen__Me__Et | 1,2-phenylene | Me | Et | Me2P-1,2-phenylene-PEt2 | no |
| 75 | ophen__Me__iPr | 1,2-phenylene | Me | iPr | Me2P-1,2-phenylene-PiPr2 | no |
| 76 | ophen__Me__Cy | 1,2-phenylene | Me | Cy | Me2P-1,2-phenylene-PCy2 | no |
| 77 | ophen__Me__Ph | 1,2-phenylene | Me | Ph | Me2P-1,2-phenylene-PPh2 | no |
| 78 | ophen__Me__pTol | 1,2-phenylene | Me | p-Tol | Me2P-1,2-phenylene-Pp-Tol2 | no |
| 79 | ophen__Me__pAnisyl | 1,2-phenylene | Me | p-Anisyl | Me2P-1,2-phenylene-Pp-Anisyl2 | no |
