step,candidate_id,phase,hypervolume,hv_improvement,bright_osc_strength,color_error_ev,ambiguity_penalty
1,A014B065C069,import,11.479401645038669,11.479401645038669,0.2264114787674688,0.0343259105745348,5.987674659122443
2,A031B065C025,import,14.4942008988568,3.014799253818131,0.337165095378781,0.2132798219209846,10.827044255505484
3,A014B056C025,import,31.670839298311122,17.176638399454323,1.52862828589325,0.4732485808668563,18.07330047311408
4,A031B056C069,import,32.80422750464915,1.1333882063380258,0.4412643423176632,0.1753230690235532,16.157639428631818
5,A014B066C115,import,32.80422750464915,0.0,0.3072201353768226,0.7162985449685446,11.104707779211305
6,A014B056C100,import,35.777741444382194,2.9735139397330457,1.2158883164612058,0.5367373452645343,10.59935152015193
7,A014B056C080,import,35.7777414443822,7.105427357601002e-15,1.1464935953630842,0.5374257594011493,11.4705340141477
8,A014B056C115,import,35.777741444382194,-7.105427357601002e-15,0.4317020300195663,0.345037988963679,17.42026341691305
9,A014B065C078,import,38.09590043616367,2.3181589917814733,0.689135594922242,0.2150733859059714,12.447329430493392
10,A014B056C070,import,38.09590043616367,0.0,0.2603992424370072,0.2869836746598286,17.992754983772137
11,A014B065C070,import,38.4877102497768,0.39180981361313627,0.2652999243088541,0.0329482155603142,6.033717199295122
12,A014B065C025,import,38.60740606521412,0.11969581543731778,0.3986490068525455,0.3551320040163634,9.485097174978522
13,A014B065C041,import,41.376409744039044,2.769003678824923,0.9006996688654821,0.2702097554819285,8.194432460674758
14,A014B065C036,import,43.30458162665068,1.928171882611636,1.2664611158928354,0.3021354010491413,16.04998035902419
15,A031B065C041,import,43.30458162665068,0.0,0.2132568106075093,0.3161105552899053,6.442509003223011
16,A031B065C069,import,43.30458162665068,0.0,0.0818524659702343,0.2253624309151569,10.86444074729347
17,A014B065C071,bo,44.355324580620405,1.0507429539697242,1.508884956129463,0.3072115663046602,19.242367217506562
18,A015B065C041,bo,47.927608724842784,3.5722841442223796,0.6717815495009947,0.0977740809758676,4.352168072865121
19,A039B065C041,bo,47.927608724842784,0.0,0.49142703557464573,0.33057187819866973,27.939282406466027
20,A015B065C036,bo,50.39117378359172,2.4635650587489337,0.9593035068022013,0.06839007106656503,11.490212717182551
21,A015B065C071,bo,50.53959758303251,0.14842379944079198,1.002028521525244,0.09376444003792228,28.675056338192903
22,A015B065C031,bo,50.53959758303251,0.0,0.2869959445060722,0.24198908720608703,19.452794530034872
23,A031B056C080,bo,50.54017382823995,0.0005762452074407065,0.9685476385571932,0.3051727911846953,15.780784039670674
24,A015B056C025,bo,50.54017382823995,0.0,0.9929570931235411,0.7314781261129333,10.67569353483802
25,A031B065C071,bo,50.54017382823995,0.0,0.2318970620155808,0.4670277125461779,11.65028899160311
26,A015B065C070,bo,50.54017382823995,0.0,0.13533186032155087,0.07598123065424112,20.4162492480185
27,A015B065C023,bo,50.54017382823995,0.0,1.020078040002554,0.6706185738232102,18.32537323787547
28,A042B065C036,bo,50.54017382823995,0.0,0.5114365610914453,0.6057781462875171,26.620794165892338
29,A015B056C078,bo,50.95486751923817,0.4146936909982202,1.0857262165871677,0.23601105921574783,10.795355507136378
30,A015B057C080,bo,50.95486751923817,0.0,0.01946266794734569,0.3225296129898201,25.44547131291986
31,A015B049C078,bo,50.95486751923818,7.105427357601002e-15,0.010842979794302314,0.3179083963268563,4.784866506363129
32,A015B065C069,bo,50.95486751923817,-7.105427357601002e-15,0.1341859246580746,0.03461102543560868,10.714829119495807
33,A039B056C078,bo,50.95486751923818,7.105427357601002e-15,0.9238816503371653,0.09934657658049861,43.25421324085797
34,A015B049C098,bo,50.95486751923818,0.0,0.04616276780538785,0.2025778213989753,22.39570440070787
35,A031B057C078,bo,50.95486751923818,0.0,0.00492612882679905,0.9556961174745218,5.524644643378839
36,A014B056C031,bo,51.50956835241147,0.5547008331732926,1.330161373847764,0.4649350588083365,10.178992603957237
37,A014B057C078,bo,51.60369953002256,0.09413117761108936,0.0013246985048551746,0.5842811883829047,1.4000942734048742
38,A014B056C078,bo,51.769888006256444,0.16618847623388433,0.8992877695609836,0.062181349418556575,10.880756126341527
