"param_Ethanol","param_SDS","obj_static_contact_angle","result_id","suggestion_id","created_at"
"0.0","0.6","71.403","6c90cfd4-db86-4da7-9a5c-cb1f1ee56a03","","2026-07-15T18:30:56.251009+00:00"
"15.0","0.35","72.673","5731f343-28ad-4931-bc7b-739e4554e0be","","2026-07-15T18:30:56.251025+00:00"
"0.0","0.815282","70.592","0164c8e9-2fd4-441c-9cd9-cdae9a7d4ec1","","2026-07-15T18:30:56.251032+00:00"
"0.0","1.0","70.268","4d7a7500-8efa-42d8-9bc7-b0d56b84fbbc","","2026-07-15T18:30:56.251037+00:00"
"10.370321","1.0","70.836","7dee3315-0afa-4049-bd51-fc44d92212c6","","2026-07-15T18:30:56.251042+00:00"
"2.897363","0.924759","72.745","e69d9e63-18c6-43f2-94c5-e98cd274c80b","","2026-07-15T18:30:56.251056+00:00"
"3.851089","0.611513","72.581","b2011f6b-5a64-488b-b312-b93c230b3684","","2026-07-15T18:30:56.251062+00:00"
"8.938976","0.37568","74.38","c87271ea-a3a8-47d4-b9c1-e587f220a79c","","2026-07-15T18:30:56.251068+00:00"
"12.342763","0.800836","71.921","94e182e1-4737-4046-b5cc-b1310465b382","","2026-07-15T18:30:56.251074+00:00"
"15.452222","1.0","71.403","57d53631-f5f1-471f-85cc-1003414611b7","","2026-07-15T18:30:56.251079+00:00"
"18.374755","0.615662","71.681","d180cb54-0adc-4ec1-a5c3-7957a871e528","","2026-07-15T18:30:56.251084+00:00"
"0.0","0.204732","75.0","550e7386-8762-45df-8e33-7b909c1ae6a9","","2026-07-15T18:30:56.251089+00:00"
"19.941169","0.057213","74.79","acd5217d-e6fa-4945-900f-6c1f1cb90f06","","2026-07-15T18:30:56.251094+00:00"
"20.828506","1.0","71.0","8ee8340b-6140-48e0-9f8c-72fd63ecff92","","2026-07-15T18:30:56.251099+00:00"
"32.143061","1.0","68.61","75a6ef2e-4210-46cd-83d7-d0b060987b47","","2026-07-15T18:30:56.251105+00:00"
"29.85829","1.0","68.859","ac96cec1-7fe9-4490-8b1d-8051602623c7","","2026-07-15T18:30:56.251110+00:00"
"30.102219","0.999948","69.013","561a1266-9018-44ec-94d3-df9a4374dbe2","","2026-07-15T18:30:56.251115+00:00"
"1.553901","0.809939","71.763","58ac7e70-7cac-4cf1-89d3-7f7df80601ea","","2026-07-15T18:30:56.251120+00:00"
"32.885169","0.826341","68.649","b5e21d5e-649c-471e-8f2e-00de01930ad2","bac35720-e941-4237-9031-e5bbeb472cad","2026-07-15T18:34:25.153347+00:00"
"35.784082","0.952413","69.215","802fd320-d47f-4d41-97b0-3fe58857da5b","df2c78b9-5fdf-4283-b182-60921aaf2380","2026-07-15T18:38:32.201861+00:00"
"32.272879","0.911301","69.833","665cb2bf-5150-44c0-a536-847e1133184e","31a5873c-f88f-40e9-9369-71bc6f9a0187","2026-07-15T18:42:34.170497+00:00"
"34.555351","0.752157","68.108","f08830db-f7a8-4c3e-a690-917daaf7ba4e","6024f263-5369-4071-ab04-bae80ccd547d","2026-07-15T18:46:49.323020+00:00"
"31.478342","0.71141","69.519","f5442de4-7a76-4098-800f-e1fa595bbaad","26f8c06c-90e2-4a70-9910-7546185386e6","2026-07-15T18:50:57.396234+00:00"
