candidate,phase,feasible,electronic,stability,geometry,steric,feasible_index,hypervolume,norm_hv,pareto
eth__Me__Me,warm_start,True,-0.08263508031848854,9.989296189252297,8.51758501228108,9.0,1,4.021669940959001,0.5719256441893764,True
eth__Et__Et,bo,True,0.16914626730929117,9.756678857986092,8.394435445172117,8.0,2,6.756033176432224,0.9607821336214397,True
eth__iPr__iPr,bo,True,0.19177037191740576,9.605045916719781,8.606335928605834,10.0,3,6.994398174219608,0.9946802547783541,True
eth__Me__Et,bo,True,-0.050766882515447254,9.556389871669603,8.420341463510127,8.0,4,7.031805588398031,1.0,True
eth__Et__iPr,bo,True,0.12044581124725351,9.425679875482798,8.515539737255596,10.0,5,7.031805588398031,1.0,False
eth__Me__iPr,bo,True,0.0490996638457224,9.198942500512977,8.532293900105984,10.0,6,7.031805588398031,1.0,False
