experiment,run_id,label,yield_percent,best_yield_so_far,green_score,bad_zero_or_no_peak,zero_streak
1,R0044,seed01_b681a41d,0.0,0.0,60.30844155844155,True,1
2,R0045,seed02_b681a41d,30.037732281591182,30.037732281591182,98.29545454545455,False,0
3,R0046,seed03_b681a41d,15.766697453699585,30.037732281591182,4.261363636363635,False,0
4,R0047,seed04_b681a41d,11.930255522523904,30.037732281591182,65.94785422910422,False,0
5,R0048,seed05_b681a41d,13.136061617657441,30.037732281591182,51.567703130203135,False,0
6,R0049,seed06_b681a41d,7.574024955754647,30.037732281591182,56.59340659340659,False,0
7,R0050,bo_761b6759-b,15.229219976533518,30.037732281591182,100.0,False,0
8,R0051,bo_6185a2d1-0,27.638363856448734,30.037732281591182,93.57670454545455,False,0
