molecule_key,smiles_canonical,n_conformers_generated,selected_conformer_energy,S1_ev,T1_ev,delta_est_ev,objective,oscillator_strength,status,crest_wall_s,pyscf_wall_s,total_eval_wall_s,error_message
WGKMZGAJDYWUCE-UHFFFAOYSA-N,CS(=O)C1=CC=C2C=CC=C3C=CC=C1N32,4.0,,1.3980195029632816,1.174788683004107,0.2232308199591746,-0.2232308199591746,0.0002338812497022,success,107.64474599808456,278.6284670829773,386.2744595920667,
NSFPKBSRRKTUCK-UHFFFAOYSA-N,CC1=CC2=CC=CC3=CC=CC(=C1)N32,2.0,,1.3987100928366325,1.1719231603486746,0.2267869324879579,-0.2267869324879579,4.291868090774e-05,success,62.70102996379137,126.67196623049676,189.373687857762,
MLHIMDRRGDRXQW-UHFFFAOYSA-N,FC1=CC2=CC=CC3=CC=CC(=C1)N32,2.0,,1.4846145091420722,1.2548106283159106,0.2298038808261615,-0.2298038808261615,0.0004969673780462,success,57.81920093204826,314.16571599058807,371.9859426114708,
RMSXYWWMTBMFED-UHFFFAOYSA-N,C#CC1=CC=C2C=CC=C3C=CC=C1N32,2.0,,1.3772421387974194,1.145359139125239,0.2318829996721805,-0.2318829996721805,0.0008769722051448,success,70.78857390210032,209.07219413202256,279.8616104023531,
CGGKYQWGDWHWKT-UHFFFAOYSA-N,FC(F)(F)C1=CC=C2C=CC=C3C=CC=C1N32,2.0,,1.4534650954059447,1.2181914137237329,0.2352736816822118,-0.2352736816822118,0.0001274063384515,success,79.84458093624562,400.9929341096431,480.8380043739453,
NMMLJSSHMNUPOJ-UHFFFAOYSA-N,CC1=CC=C2C=CC=C3C=CC=C1N32,2.0,,1.3460499547331333,1.1088775873153771,0.2371723674177559,-0.2371723674177559,2.4675462269316525e-05,success,65.27491423394531,131.00726360548288,196.28320563025773,
QCWXRFCFKSVXNS-UHFFFAOYSA-N,CS(=O)C1=CC2=CC=CC3=CC=CC(=C1)N32,4.0,,1.3051812590544585,1.0636207609558288,0.2415604980986294,-0.2415604980986294,7.003059235123335e-05,success,131.52671688981354,191.77433594688773,323.30205113627017,
XFAKGSNBLLHIJS-UHFFFAOYSA-N,CN(C)C1=CC=C2C=CC=C3C=CC=C1N32,8.0,,1.2882670247259924,1.0431332363552182,0.2451337883707742,-0.2451337883707742,0.0002343594983994,success,106.23603784944862,228.11765206884596,334.3550218399614,
SUVXEVRKTOAMPY-UHFFFAOYSA-N,CC1=NC2=CC(F)=CC3=NC(C)=NC(=N1)N23,4.0,,2.669476131805994,2.42292592371236,0.2465502080936339,-0.2465502080936339,0.0030277824341178,success,75.65406326949596,519.1218113414943,594.7763820309192,
XFLQTXGZQAAHAI-UHFFFAOYSA-N,FC1=CC=C2C=CC=C3C=CC=C1N32,2.0,,1.2372693488713844,0.9875677598713138,0.2497015890000705,-0.2497015890000705,0.0002641080031957,success,57.31618338916451,293.67614437639713,350.9933533985168,
