param_catalyst_type,param_oxidant_type,param_catalyst_equiv,param_TFAA_equiv,param_oxidant_equiv,param_light_intensity,param_residence_time_min,obj_yield_percent,obj_green_score,result_id,suggestion_id,created_at,experiment,yield_percent,green_score,phase,pareto_optimal
Ru bpy Cl,py NO,0.0012551564527834,1.6156597192651254,1.4410604139317431,50,16.428333333333335,48.50520336395255,82.50167820171659,a1369623-60c3-4c92-8058-394e6b30f98e,a9f8598d-edd7-48fa-bbf6-b94ca3618912,2026-07-25T15:50:47.403940+00:00,17,48.50520336395255,82.50167820171659,BO,True
Ru bpy Cl,py NO,0.0011562499295373,1.5559624699508112,1.29960973315381,50,16.805,45.09342521319984,85.53034412945391,3078e184-5446-426c-83af-298d842117f5,5c5570bd-dd17-4366-8685-0863402167f6,2026-07-26T19:28:48.594561+00:00,19,45.09342521319984,85.53034412945391,BO,True
Ru bpy Cl,py NO,0.0015895931399105,1.588655546840804,0.9,50,16.396666666666665,36.54768450235394,86.42005482308022,db312f26-0158-494a-9a65-9c9aad931feb,2584b3ce-365d-4a96-9a21-8277c6f6fdd4,2026-07-25T11:19:20.216826+00:00,16,36.54768450235394,86.42005482308022,BO,True
Ru bpy Cl,py NO,0.001,1.57791518151435,0.9,50,17.89,35.77595269858751,91.22448252040398,1c6cbbec-a5b4-4034-8f9a-22c04813c09d,9fdbf22f-9625-47d1-a31b-ee2ea144052b,2026-07-25T10:23:01.222829+00:00,15,35.77595269858751,91.22448252040398,BO,True
Ru bpy Cl,py NO,0.001,0.9392429564290669,0.9,75,15.385,32.9582189108561,96.77074626685338,8af1da54-ba9f-40cf-a28a-ceea5365b7c5,8d4c74c6-0e1e-42ee-90a3-9fb742791b31,2026-07-25T07:30:45.572327+00:00,12,32.9582189108561,96.77074626685338,BO,True
Ru bpy Cl,py NO,0.001,0.9,0.9,50,20.791666666666668,32.68287722998345,97.33072916666666,c79bc04b-b38f-4280-afa1-2553c445d33d,c719dfd0-11e7-4f8b-8477-494bd134d7d5,2026-07-25T09:27:26.285469+00:00,14,32.68287722998345,97.33072916666666,BO,True
Ru bpy Cl,py NO,0.001,0.9,0.9,75,10.0,30.037732281591182,98.29545454545456,21c76877-2ef2-40af-b621-f5ddc110e39b,,2026-07-25T04:50:14.255880+00:00,2,30.037732281591182,98.29545454545456,seed,True
Ru bpy Cl,py NO,0.001,0.9,0.9,100,2.0,15.229219976533518,100.0,21ef71ff-c801-4535-8c52-14c2238cb3d6,,2026-07-25T04:50:14.564041+00:00,7,15.229219976533518,100.0,BO,True
