i,element_i,j,element_j,distance_A
28,H,35,C,6.239663
16,H,22,H,6.247704
9,C,22,H,6.250504
13,H,22,H,6.254582
10,C,22,H,6.255382
8,C,36,H,6.258834
14,H,35,C,6.260194
11,H,38,H,6.285388
27,C,35,C,6.286382
28,H,40,H,6.289626
26,H,27,C,6.292448
8,C,21,H,6.304895
26,H,33,H,6.306354
28,H,37,H,6.314966
5,O,25,H,6.323456
7,C,26,H,6.329573
7,C,28,H,6.330324
27,C,36,H,6.332496
8,C,41,H,6.333869
9,C,20,C,6.344612
8,C,42,H,6.370228
15,H,27,C,6.382390
23,H,32,H,6.383494
31,C,35,C,6.385014
2,P,9,C,6.392763
30,H,40,H,6.399375
5,O,37,H,6.411326
3,P,10,C,6.413221
11,H,28,H,6.414554
6,C,23,H,6.416674
6,C,27,C,6.420039
8,C,35,C,6.420740
4,O,30,H,6.421534
9,C,19,C,6.422196
27,C,39,C,6.437228
11,H,20,C,6.444308
15,H,40,H,6.459079
27,C,37,H,6.468709
8,C,20,C,6.472488
15,H,34,H,6.477970
16,H,18,C,6.484096
20,C,32,H,6.484273
26,H,31,C,6.490262
14,H,24,H,6.513043
27,C,41,H,6.530283
10,C,18,C,6.537316
32,H,41,H,6.537630
17,H,28,H,6.541072
6,C,25,H,6.550702
6,C,21,H,6.553449
25,H,29,H,6.556234
33,H,36,H,6.558209
11,H,26,H,6.561402
11,H,41,H,6.564290
16,H,40,H,6.565341
10,C,24,H,6.565638
7,C,21,H,6.566750
7,C,30,H,6.578024
33,H,37,H,6.579316
32,H,39,C,6.581330
9,C,37,H,6.595066
33,H,38,H,6.640527
2,P,13,H,6.674446
13,H,18,C,6.689955
3,P,16,H,6.694953
31,C,36,H,6.697798
9,C,18,C,6.700933
9,C,33,H,6.705378
17,H,30,H,6.713049
31,C,42,H,6.713516
31,C,37,H,6.730929
7,C,23,H,6.741528
12,H,41,H,6.770148
12,H,26,H,6.771337
28,H,39,C,6.778532
17,H,34,H,6.778918
8,C,38,H,6.783517
7,C,37,H,6.788476
34,H,35,C,6.802985
6,C,34,H,6.808678
8,C,23,H,6.809530
26,H,34,H,6.813817
29,H,36,H,6.815138
16,H,24,H,6.815174
11,H,23,H,6.815255
17,H,40,H,6.822010
14,H,22,H,6.841413
11,H,34,H,6.851139
6,C,28,H,6.851314
11,H,21,H,6.853590
30,H,41,H,6.862944
29,H,35,C,6.873049
8,C,26,H,6.877500
25,H,32,H,6.877747
17,H,24,H,6.881550
14,H,26,H,6.893303
15,H,22,H,6.895564
15,H,30,H,6.899196
11,H,30,H,6.925453
30,H,39,C,6.936635
26,H,30,H,6.937283
