run_id,phase,bo_campaign_id,platform_campaign,sample_or_note,status,success,submitted_to_bo,requested_at,started_at,finished_at,run_min,occupied_min,catalyst,catalyst_equiv,oxidant,oxidant_equiv,TFAA_equiv,light_intensity_pct,residence_time_min,slug_volume_uL,SM_conc_mM,collect_crude,n_SM_umol,SM_mg,SM_stock_uL,catalyst_umol,catalyst_mg,catalyst_stock_uL,TFAA_umol,TFAA_mg,TFAA_stock_uL,oxidant_umol,oxidant_mg,oxidant_stock_uL,yield_pct,green_score,nmr_pass,nmr_peak_width_ppm,notes
R0067,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_cc26e7f1-b,completed,True,yes,2026-07-27T01:42:15.441610+00:00,2026-07-27T01:42:20.167594+00:00,2026-07-27T02:21:09.518103+00:00,38.82,38.9,Ru bpy Cl,0.001891918287517448,py NO,1.3920495769768648,1.9967805730581698,50.0,14.173,650.0,100.0,False,65.0,13.6013,65.28,0.12297,0.09206,43.43,129.7907,27.2599,36.71,90.4832,8.605,45.87,58.811244776605555,74.43448082946996,True,0.09973330209832909,
R0068,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_31d5114e-3,failed,False,,2026-07-27T02:22:55.379259+00:00,2026-07-27T02:36:51.058796+00:00,2026-07-27T03:20:37.779396+00:00,43.78,57.71,Ru bpy Cl,0.0022452457086006112,py NO,1.355256776264335,2.301668795918735,50.0,21.5504,650.0,100.0,False,65.0,13.6013,65.28,0.14594,0.10925,51.54,149.6085,31.4223,42.31,88.0917,8.3775,44.66,,,,,non-retryable analysis error; measurement retried as R0069
R0069,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_31d5114e-3_r2,completed,True,yes,2026-07-27T13:38:32.731851+00:00,2026-07-27T13:38:34.024299+00:00,2026-07-27T14:26:10.726648+00:00,47.61,47.63,Ru bpy Cl,0.0022452457086006112,py NO,1.355256776264335,2.301668795918735,50.0,21.5504,650.0,100.0,False,65.0,13.6013,65.28,0.14594,0.10925,51.54,149.6085,31.4223,42.31,88.0917,8.3775,44.66,54.499424422633645,67.94865568886654,True,0.11548066558754044,
R0070,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_b8a7095d-5,completed,True,yes,2026-07-27T14:28:32.106685+00:00,2026-07-27T14:41:57.299126+00:00,2026-07-27T15:20:39.426757+00:00,38.7,52.12,Ru bpy Cl,0.001955638096245787,py NO,1.3622631167374433,2.511222646887637,50.0,13.9998,650.0,100.0,False,65.0,13.6013,65.28,0.12712,0.09516,44.89,163.2295,34.2831,46.17,88.5471,8.4208,44.89,0.0,69.33614595045124,True,0.0,
R0071,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_e5d810a1-d,completed,True,yes,2026-07-27T15:26:16.564197+00:00,2026-07-27T15:36:25.871104+00:00,2026-07-27T16:22:57.514205+00:00,46.53,56.68,Ru bpy Cl,0.0021208657299276617,py NO,1.3676868465921683,2.1437066222361896,50.0,20.5728,650.0,100.0,False,65.0,13.6013,65.28,0.13786,0.1032,48.68,139.3409,29.2658,39.41,88.8996,8.4544,45.07,0.0,70.49477659867476,True,0.0,
R0072,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_bee540de-5,completed,True,yes,2026-07-27T16:30:16.358238+00:00,2026-07-27T16:38:44.249726+00:00,2026-07-27T17:16:52.935269+00:00,38.14,46.61,Ru bpy Cl,0.0018416219771099289,py NO,1.3961927112380434,1.9693294173125089,50.0,13.4561,650.0,100.0,False,65.0,13.6013,65.28,0.11971,0.08961,42.27,128.0064,26.8852,36.21,90.7525,8.6306,46.01,45.79300224553894,75.17004638566944,True,0.1259789079136837,
R0073,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_a26ca83f-2,completed,True,yes,2026-07-27T17:25:20.418862+00:00,2026-07-27T17:32:44.457563+00:00,2026-07-27T18:19:53.823243+00:00,47.16,54.56,Ru bpy Cl,0.0019359988328696658,py NO,1.3468007147323526,2.010108175517452,50.0,21.1073,650.0,100.0,False,65.0,13.6013,65.28,0.12584,0.09421,44.44,130.657,27.4419,36.95,87.542,8.3252,44.38,0.0,73.49282137452167,True,0.0,
R0074,yield only,1970655b-a702-4963-874b-6973489cc89d,robochemflex_yield_bo_fresh_20260724T155503Z-20260724-175502,BO-MCP RoboChemFlex yield-only optimization bo_86b39c20-a,failed,False,,2026-07-27T18:26:18.717335+00:00,2026-07-27T18:36:05.346377+00:00,2026-07-27T19:14:33.326880+00:00,38.47,48.24,Ru bpy Cl,0.0019473763733105366,py NO,1.392252886712668,2.0269754023434867,50.0,13.7971,650.0,100.0,False,65.0,13.6013,65.28,0.12658,0.09476,44.7,131.7534,27.6722,37.26,90.4964,8.6062,45.88,24.572952805051507,,False,0.3936840872302412,failed before analysis (platform went to stopping)
R0075,"yield only, clean reseed",13bb9fef-7bd3-4db2-8e99-2e39e469dc92,roboflex_yield_BO_fresh_refilled_stocks-20260728-112201,BO-MCP RoboChemFlex yield-only optimization bo_d5368262-1,completed,True,yes,2026-07-29T16:01:19.725373+00:00,2026-07-29T16:01:22.347930+00:00,2026-07-29T16:45:31.748511+00:00,44.16,44.2,Ru bpy Cl,0.002215397053331088,py NO,1.3618018851801101,2.3143285769192654,50.0,18.6769,650.0,100.0,False,65.0,13.6013,65.28,0.144,0.1078,50.85,150.4314,31.5951,42.55,88.5171,8.418,44.87,52.27761523334914,68.40589179542351,True,0.1364782078386213,
R0076,"yield only, clean reseed",13bb9fef-7bd3-4db2-8e99-2e39e469dc92,roboflex_yield_BO_fresh_refilled_stocks-20260728-112201,BO-MCP RoboChemFlex yield-only optimization bo_e3d3fbb8-6,completed,True,yes,2026-07-29T16:47:51.850133+00:00,2026-07-29T17:01:13.227766+00:00,2026-07-29T17:37:07.019353+00:00,35.9,49.25,Ru bpy Cl,0.002206644045765181,py NO,1.403392075648312,1.6901767218049744,50.0,11.692,650.0,100.0,False,65.0,13.6013,65.28,0.14343,0.10738,50.65,109.8615,23.0742,31.07,91.2205,8.6751,46.24,31.797149428210524,74.97735985537149,True,0.24146144463756514,
R0077,"yield only, clean reseed",13bb9fef-7bd3-4db2-8e99-2e39e469dc92,roboflex_yield_BO_fresh_refilled_stocks-20260728-112201,BO-MCP RoboChemFlex yield-only optimization bo_e149d9a6-3,completed,True,yes,2026-07-29T17:40:22.368192+00:00,2026-07-29T17:52:48.533251+00:00,2026-07-29T18:34:57.035969+00:00,42.14,54.58,Ru bpy Cl,0.0016834805333770216,py NO,1.367639510521349,2.1817870929250742,50.0,16.895,650.0,100.0,False,65.0,13.6013,65.28,0.10943,0.08192,38.64,141.8162,29.7856,40.11,88.8966,8.4541,45.06,0.0,74.2965489195439,True,0.0,"zero yield, analytical failure; excluded from the published figure"
R0078,"yield only, clean reseed",13bb9fef-7bd3-4db2-8e99-2e39e469dc92,roboflex_yield_BO_fresh_refilled_stocks-20260728-112201,BO-MCP RoboChemFlex yield-only optimization bo_6a04c6c0-e,completed,True,yes,2026-07-29T18:40:40.486493+00:00,2026-07-29T18:50:43.468415+00:00,2026-07-29T19:32:09.925516+00:00,41.44,51.49,Ru bpy Cl,0.001942393676822977,py NO,1.4575630871779603,1.9544888939495746,50.0,16.3687,650.0,100.0,False,65.0,13.6013,65.28,0.12626,0.09452,44.58,127.0418,26.6826,35.93,94.7416,9.0099,48.03,0.0,73.32879083270029,True,0.0,"zero yield, analytical failure; excluded from the published figure"
R0079,"yield only, clean reseed",13bb9fef-7bd3-4db2-8e99-2e39e469dc92,roboflex_yield_BO_fresh_refilled_stocks-20260728-112201,BO-MCP RoboChemFlex yield-only optimization bo_9a25e813-9,completed,True,yes,2026-07-29T19:35:09.555897+00:00,2026-07-29T19:48:06.439102+00:00,2026-07-29T20:23:19.730964+00:00,35.22,48.17,Ru bpy Cl,0.001867898988028076,py NO,1.7563484941234677,2.016707517395622,0.0,10.9756,650.0,100.0,False,65.0,13.6013,65.28,0.12141,0.09089,42.87,131.086,27.532,37.08,114.1627,10.8569,57.87,0.0,71.83531122040787,True,0.0,"zero yield, analytical failure; excluded from the published figure"
R0080,"yield only, clean reseed",13bb9fef-7bd3-4db2-8e99-2e39e469dc92,roboflex_yield_BO_fresh_refilled_stocks-20260728-112201,BO-MCP RoboChemFlex yield-only optimization bo_742b1a07-c,queued,,,2026-07-29T20:24:10.477894+00:00,,,,,Ru bpy Cl,0.0018617332840613918,py NO,1.2361549028777215,1.9458809417260512,50.0,13.6758,650.0,100.0,False,65.0,13.6013,65.28,0.12101,0.09059,42.73,126.4823,26.5651,35.77,80.3501,7.6413,40.73,,,,,"submitted, platform unreachable (HTTP 530); no result returned"
