run_id,phase,bo_campaign_id,platform_campaign,sample_or_note,status,success,submitted_to_bo,requested_at,started_at,finished_at,run_min,occupied_min,catalyst,catalyst_equiv,oxidant,oxidant_equiv,TFAA_equiv,light_intensity_pct,residence_time_min,slug_volume_uL,SM_conc_mM,collect_crude,n_SM_umol,SM_mg,SM_stock_uL,catalyst_umol,catalyst_mg,catalyst_stock_uL,TFAA_umol,TFAA_mg,TFAA_stock_uL,oxidant_umol,oxidant_mg,oxidant_stock_uL,yield_pct,green_score,nmr_pass,nmr_peak_width_ppm,notes
R0038,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-suggestion-4dad47c3-2959-43dd-8064-f45c7857edc6,completed,True,,2026-07-24T05:34:09.047897+00:00,2026-07-24T05:48:27.888314+00:00,2026-07-24T06:15:16.060600+00:00,26.8,41.12,Ru bpy Cl,0.002530567151001437,py NO,0.9,0.9,0.0,5.2036,650.0,100.0,False,65.0,13.6013,65.28,0.16449,0.12314,58.08,58.5,12.2868,16.55,58.5,5.5633,29.66,0.0,,True,0.0,
R0039,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-suggestion-5f173a67-0134-405c-9cdb-3895318edaf7,completed,True,,2026-07-24T06:16:20.671845+00:00,2026-07-24T06:30:42.457210+00:00,2026-07-24T07:00:51.047154+00:00,30.14,44.51,Ru bpy Cl,0.0017802028190274984,py NO,0.9,0.9,50.0,8.1723,650.0,100.0,False,65.0,13.6013,65.28,0.11571,0.08663,40.86,58.5,12.2868,16.55,58.5,5.5633,29.66,0.0,,True,0.0,
R0040,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-suggestion-a6cffff3-991b-4722-8fd6-f4327db4c48c,completed,True,,2026-07-24T07:01:56.304931+00:00,2026-07-24T07:18:37.669226+00:00,2026-07-24T08:07:23.224138+00:00,48.76,65.45,Ru bpy Cl,0.0019071911630619783,py NO,1.8987498789300645,0.9,25.0,24.0909,650.0,100.0,False,65.0,13.6013,65.28,0.12397,0.0928,43.78,58.5,12.2868,16.55,123.4187,11.7371,62.56,0.0,,True,0.0,
R0041,"exploratory 23-24 Jul (discarded, not part of the reported campaign)",9cc2b4cb-525e-4d4d-a336-0acbe52dc20d,roboflex-green-yield-20260723-180631,bo-9cc2b4cb-525e-4d4d-a336-0acbe52dc20d-suggestion-0b074e89-1212-4da1-a927-6e7bf60e993e,completed,True,,2026-07-24T08:08:37.282434+00:00,2026-07-24T08:22:49.653114+00:00,2026-07-24T09:18:35.613977+00:00,55.77,69.97,Ru bpy Cl,0.004,py NO,0.9,0.9,50.0,30.6455,650.0,100.0,False,65.0,13.6013,65.28,0.26,0.19464,91.81,58.5,12.2868,16.55,58.5,5.5633,29.66,0.0,,True,0.0,
R0042,"aborted first attempt (wrong NMR protocol, no valid yield)",1d62df6d-764a-4cf3-b857-b21482da74a0,,seed01_1d62df6d,failed,False,,2026-07-24T14:19:45+00:00,2026-07-24T14:35:35+00:00,2026-07-24T15:27:48+00:00,52.22,68.05,4CzIPN,0.0025,py NO,1.8,2.2,50,30.0,650.0,100.0,,65.0,13.6013,65.28,0.1625,0.12413,26.41,143.0,30.0343,40.45,117.0,11.1267,59.31,,,,,failed NMR analysis (default proton protocol); excluded from BO
R0043,"aborted first attempt (wrong NMR protocol, no valid yield)",1d62df6d-764a-4cf3-b857-b21482da74a0,,seed01_1d62df6d,stopped while queued,False,,2026-07-24T15:27:51+00:00,,,,,4CzIPN,0.0025,py NO,1.8,2.2,50,30.0,650.0,100.0,,65.0,13.6013,65.28,0.1625,0.12413,26.41,143.0,30.0343,40.45,117.0,11.1267,59.31,,,,,submitted as duplicate then stopped while queued; reagent consumption uncertain
R0044,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization seed01_b681a41d,completed,True,,2026-07-24T15:55:03.184517+00:00,2026-07-24T16:11:14.200638+00:00,2026-07-24T17:08:15.466857+00:00,57.02,73.2,4CzIPN,0.0025,py NO,1.8,2.2,50.0,30.0,650.0,100.0,False,65.0,13.6013,65.28,0.1625,0.12413,26.41,143.0,30.0343,40.45,117.0,11.1267,59.31,0.0,60.30844155844155,,,
R0045,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization seed02_b681a41d,completed,True,,2026-07-24T17:08:39.780641+00:00,2026-07-24T17:23:41.921114+00:00,2026-07-24T17:56:12.086325+00:00,32.5,47.54,Ru bpy Cl,0.001,py NO,0.9,0.9,75.0,10.0,650.0,100.0,False,65.0,13.6013,65.28,0.065,0.04866,22.95,58.5,12.2868,16.55,58.5,5.5633,29.66,30.037732281591182,98.29545454545455,,,
R0046,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization seed03_b681a41d,completed,True,,2026-07-24T17:56:22.645264+00:00,2026-07-24T18:11:53.592601+00:00,2026-07-24T20:02:28.146737+00:00,110.58,126.09,Ir CF3 ppy,0.004,4-Ph py NO,3.0,3.5,100.0,75.0,650.0,100.0,False,65.0,13.6013,65.28,0.26,0.2917,104.93,227.5,47.7818,64.35,195.0,33.384,123.64,15.766697453699585,4.261363636363635,,,
R0047,yield + green score,b681a41d-90db-4eb9-a9a9-3cc91098f3c0,,BO-MCP RoboChemFlex yield optimization seed04_b681a41d,completed,True,,2026-07-24T20:02:42.762587+00:00,2026-07-24T20:17:59.622154+00:00,2026-07-24T21:32:39.740241+00:00,74.67,89.95,Ir ppy,0.002,py NO,2.4,1.4,25.0,45.0,650.0,100.0,False,65.0,13.6013,65.28,0.13,0.08512,45.28,91.0,19.1127,25.74,156.0,14.8356,79.08,11.930255522523904,65.94785422910422,,,
