evaluation,hypervolume_so_far,best_so_far_max_oscillator_strength_s1_s3,best_so_far_color_error_eV,best_so_far_conformational_ambiguity,pareto_count_so_far
1,1.0560849990388408,0.4501395080345683,0.1209727820349213,1.0,1
2,1.0560849990388408,0.4501395080345683,0.1209727820349213,1.0,1
3,1.0560849990388408,0.4501395080345683,0.1209727820349213,1.0,1
4,1.2992762086110095,0.8108059156826731,0.1209727820349213,1.0,2
5,1.2992762086110095,0.8108059156826731,0.1209727820349213,1.0,2
6,1.3373154680237636,0.8108059156826731,0.031798105437145,1.0,3
