molecule_key,smiles_canonical,n_conformers_generated,selected_conformer_energy,S1_ev,T1_ev,delta_est_ev,objective,oscillator_strength,status,crest_wall_s,pyscf_wall_s,total_eval_wall_s,error_message
NSFPKBSRRKTUCK-UHFFFAOYSA-N,CC1=CC2=CC=CC3=CC=CC(=C1)N32,2,,1.3987100928366325,1.1719231603486746,0.2267869324879579,-0.2267869324879579,4.291868090774e-05,success,62.70102996379137,126.67196623049676,189.37368785776198,
TYRQLYOWVMBGNA-UHFFFAOYSA-N,c1ccc2cn(-c3nc4ncnc5nc(-n6cc7ccccc7c6)c6ccc3c6n45)cc2c1,4,,2.353076710896651,1.4303741421101945,0.9227025687864565,-0.9227025687864565,0.0058567347053161585,success,369.5669834855944,1477.5715575404465,1847.139645639807,
HXWXPNZYXZHKRZ-UHFFFAOYSA-N,c1cc2cnc3nncc4ccc1c2n43,2,,2.6267574056833727,2.190308593944166,0.43644881173920647,-0.43644881173920647,0.003374990454798338,success,60.014858114533126,208.40377607941628,268.419081248343,
ZAGUESFSZZNNGP-UHFFFAOYSA-N,C=CC1=NC2=NC=CC3=CC=NC(=N1)N32,2,,2.316508945450768,2.0445030897895573,0.2720058556612108,-0.2720058556612108,0.00178643270473341,success,63.16520989406854,214.48814970627427,277.6543675828725,
UKMKRHRCQLZPGT-UHFFFAOYSA-N,CC(=O)C1=NC2=NC=CC3=CC=NC(=N1)N32,6,,2.283925672215193,1.9971370278858662,0.2867886443293266,-0.2867886443293266,0.0014118333937249905,success,103.96206499170512,149.83541407156736,253.79812901932746,
NONGYEVCQNBZFJ-UHFFFAOYSA-N,C1=CC2=NC(c3ccc(N4CCCCC4)cc3Nc3ccccn3)=NC3=NC(c4ccc(N5CCCCC5)cc4Nc4ccccn4)=NC(=C1)N23,,,,,,,,failed,,,7200.0,Evaluation timed out after 7200.0 s
STACUZZGKSWALO-UHFFFAOYSA-N,N#CC1=NC2=NC=NC3=NC=CC(=C1)N32,2,,2.195305202272623,1.7928428865279005,0.40246231574472247,-0.40246231574472247,0.01033123781920714,success,61.61673529911786,313.97587495762855,375.5934465015307,
BKUMJJLBFBDXGD-UHFFFAOYSA-N,CC1=CC2=CC=CC3=CC=NC(=N1)N32,2,,1.9027497902976547,1.6213347448405664,0.2814150454570883,-0.2814150454570883,0.003110698218731023,success,55.726488165557384,338.2161152837798,393.9436120437458,
XFLQTXGZQAAHAI-UHFFFAOYSA-N,FC1=CC=C2C=CC=C3C=CC=C1N32,2,,1.2372693488713844,0.9875677598713138,0.24970158900007056,-0.24970158900007056,0.0002641080031957542,success,57.31618338916451,293.67614437639713,350.9933533985168,
AMGVEBPJFUEWLX-UHFFFAOYSA-N,CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N32,6,,1.6502335523581297,1.382982227029471,0.2672513253286588,-0.2672513253286588,0.0025660850387672724,success,124.812908555381,498.5941919889301,623.4082335103303,
OHQFVBCXZCGROC-UHFFFAOYSA-N,C1=CC2=CC=NC3=CN=CC(=C1)N23,2,,1.5256659143148081,1.196981090381797,0.3286848239330111,-0.3286848239330111,0.001270711110865755,success,52.48979499563575,246.22062507178634,298.7108295504004,
MDBVXVGLLQXSTQ-UHFFFAOYSA-N,CNC1=CC=C2C=CC=C3C=CC=C1N32,8,,1.2595042268277437,0.9509319400748846,0.3085722867528591,-0.3085722867528591,0.0005083730082546991,success,91.50564824417233,478.30501873698086,569.811561291106,
NNFSKHBTJWXTQJ-UHFFFAOYSA-N,O=[N+]([O-])C1=CC=C2C=CC=C3C=CC=C1N32,2,,1.6435889450565804,1.3354300522566545,0.3081588927999259,-0.3081588927999259,0.0012207196713932475,success,79.32523820083588,569.3337729433551,648.6600429620594,
XGPVIOJANRNKMD-UHFFFAOYSA-N,FC(F)(F)C1=CC2=CC=CC3=CC=CC(=C1)N32,2,,1.2540790762878318,0.9908854134297108,0.26319366285812096,-0.26319366285812096,0.00023018960583889105,success,80.85253238584846,641.2018147967756,722.0553661938757,
MLHIMDRRGDRXQW-UHFFFAOYSA-N,FC1=CC2=CC=CC3=CC=CC(=C1)N32,2,,1.4846145091420722,1.2548106283159106,0.22980388082616154,-0.22980388082616154,0.0004969673780462415,success,57.81920093204826,314.16571599058807,371.9859426114708,
YSKSYGZSFISTGH-UHFFFAOYSA-N,NC1=CC2=CC=CC3=CC=CC(=C1)N32,2,,1.644892084422129,1.3753371584592704,0.2695549259628587,-0.2695549259628587,0.0024652503923609345,success,63.14391381666064,340.0617490550503,403.20614739041775,
YVDLTBKGQDBKQW-UHFFFAOYSA-N,FC1=CC2=CC=CC3=CC=NC(=N1)N32,2,,2.0149558155061857,1.7083180436090235,0.30663777189716224,-0.30663777189716224,0.005129563141162476,success,54.30880945082754,289.5521335247904,343.86185249499977,
NMHQWTLWOWSATB-UHFFFAOYSA-N,C=CC1=CC2=CC=CC3=CC=CC(=C1)N32,2,,1.196222409871541,0.9421659283684581,0.2540564815030829,-0.2540564815030829,0.0009369231050560219,success,73.08002333715558,429.5950136799365,502.675875402987,
VQJCMFYAJLAEFQ-UHFFFAOYSA-N,N#CC1=CC2=CC=CC3=CC=CC(=C1)N32,2,,1.138561859191119,0.8232706421631286,0.31529121702799046,-0.31529121702799046,0.000941974678322213,success,67.13697205577046,368.4193540085107,435.55741885956377,
SUVXEVRKTOAMPY-UHFFFAOYSA-N,CC1=NC2=CC(F)=CC3=NC(C)=NC(=N1)N23,4,,2.669476131805994,2.42292592371236,0.24655020809363393,-0.24655020809363393,0.0030277824341178546,success,75.65406326949596,519.1218113414943,594.7763820309192,
KHANFGGITOYZMP-UHFFFAOYSA-N,CN(C)C1=NC2=CC(F)=CC3=NC=NC(=N1)N23,2,,2.9674939510425222,2.5691930261773015,0.39830092486522073,-0.39830092486522073,0.013355332856676921,success,102.01567796990275,341.382844238542,443.39930236618966,
GLMBSENYFBMIGV-UHFFFAOYSA-N,SC1=CC2=CC(Cl)=CC3=CC(S)=NC(=N1)N23,4,,2.071161050002853,1.4697261215128392,0.6014349284900138,-0.6014349284900138,9.496818546914776e-07,success,111.84467183612287,377.82370354328305,489.6694360775873,
VJWIGBOMOWNWSG-UHFFFAOYSA-N,FC1=CC=C2C=CN=C3N=CC=C1N23,2,,1.7331857311588315,1.4218858296319208,0.31129990152691067,-0.31129990152691067,0.0038660492606122647,success,49.53335248678923,139.48140934761614,189.0157587826252,
FZUULLLJGCRDKO-UHFFFAOYSA-N,CC(=O)C1=CC=C2C=CC=C3C=CC=C1N32,6,,1.5840205071398579,1.3064907446297676,0.2775297625100903,-0.2775297625100903,0.0009076966181000698,success,96.25426038727164,216.52885434310883,312.7841517077759,
KHIDMFKWCYMIAR-UHFFFAOYSA-N,C1=CC2=CC=CC3=NC=CC(=C1)N23,2,,1.6324901168566432,1.3516176055823812,0.28087251127426205,-0.28087251127426205,0.0005828307372224541,success,46.126574960537255,116.72962272446603,162.8567985650152,
XFAKGSNBLLHIJS-UHFFFAOYSA-N,CN(C)C1=CC=C2C=CC=C3C=CC=C1N32,8,,1.2882670247259924,1.0431332363552182,0.24513378837077426,-0.24513378837077426,0.0002343594983994587,success,106.23603784944862,228.11765206884593,334.3550218399614,
NMMLJSSHMNUPOJ-UHFFFAOYSA-N,CC1=CC=C2C=CC=C3C=CC=C1N32,2,,1.3460499547331333,1.1088775873153773,0.23717236741775594,-0.23717236741775594,2.4675462269316525e-05,success,65.27491423394531,131.00726360548288,196.28320563025773,
KWTVZDWFGBQDFU-UHFFFAOYSA-N,CSC1=CC2=CC(Cl)=CC3=CC(SC)=NC(=N1)N23,12,,2.171171894476067,1.8727250216398639,0.2984468728362033,-0.2984468728362033,0.020068474088971475,success,172.3866684138775,247.54666287545115,419.9343029297888,
CGGKYQWGDWHWKT-UHFFFAOYSA-N,FC(F)(F)C1=CC=C2C=CC=C3C=CC=C1N32,2,,1.4534650954059447,1.2181914137237329,0.23527368168221185,-0.23527368168221185,0.00012740633845159725,success,79.84458093624562,400.9929341096431,480.8380043739453,
UTFYSUKXYGQJCH-UHFFFAOYSA-N,CN(C)C1=CC2=CC=NC3=NC=CC(=C1)N23,4,,2.1924368222227293,1.9315187169719068,0.2609181052508225,-0.2609181052508225,5.2224490417940605e-05,success,114.8889813600108,377.3580417241901,492.24773325864226,
