molecule_key,smiles_canonical,inchikey,n_records,n_delta_est_values,delta_est_min_ev,delta_est_mean_ev,delta_est_median_ev,delta_est_std_ev,has_any_invest_record,all_delta_est_negative,oscillator_strength_max,oscillator_strength_mean,vee_ev_mean,geometry_available,representative_geometry_path,all_geometry_paths,source_files_contributing,source_compound_ids,aggregation_notes,source_subsets_contributing,s1_ev_mean,source_datasets,has_geometry_for_pool,bo_score
PQJFNERCSQLEIO-UHFFFAOYSA-N,C1=NC2=NC(c3ccc(N4CCCCC4)cc3Nc3cccs3)=CC3=CC(c4ccc(N5CCCCC5)cc4Nc4cccs4)=NC(=N1)N32,PQJFNERCSQLEIO-UHFFFAOYSA-N,2,1,0.071,0.071,0.071,,False,False,0.5551949,0.52779745,2.26874,True,data/raw/pollice_2021/repository/xyzs/S733_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S733_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S733,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.538,pollice_2021,True,-0.32655452412569064
PQQHAEIYJYMBLU-UHFFFAOYSA-N,CNc1cc(N(C)C)ccc1C1=NC2=CC(O)=CC3=NC(c4ccc(N(C)C)cc4NC)=NC(=N1)N23,PQQHAEIYJYMBLU-UHFFFAOYSA-N,2,1,-0.068,-0.068,-0.068,,True,True,0.225315,0.2241575,2.519031,True,data/raw/pollice_2021/repository/xyzs/S653_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S653_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S653,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.877,pollice_2021,True,-0.6472098755507556
PQVYPWUGOQGDEP-UHFFFAOYSA-N,c1cc2cnc3ncc4cnc(c1)n2c43,PQVYPWUGOQGDEP-UHFFFAOYSA-N,5,4,-0.0295,0.14852500000000002,0.12029999999999999,0.17168452415210095,True,False,0.0088,0.0040127438,2.37683,True,data/raw/pollice_2021/repository/xyzs/S895_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S895_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S895,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.3651,pollice_2021,True,-2.055516834333655
PRGOELYDPKVGHS-UHFFFAOYSA-N,CC(=O)n1cc(Nc2ccc[nH]2)c(-c2nc3ncnc4nc(-c5cn(C(C)=O)cc5Nc5ccc[nH]5)c5ccc2c5n34)c1,PRGOELYDPKVGHS-UHFFFAOYSA-N,2,1,0.334,0.334,0.334,,False,False,0.1587,0.1508998,1.825827,True,data/raw/pollice_2021/repository/xyzs/S1332_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1332_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1332,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.227,pollice_2021,True,-1.1334230458794008
PSBIGJCMHXGLSK-UHFFFAOYSA-N,N#CC1=CC2=CC=CC3=CC=NC(=N1)N32,PSBIGJCMHXGLSK-UHFFFAOYSA-N,15,14,-0.3555,-0.023114285714285716,-0.0301,0.13684159768558266,True,False,0.0099,0.004524754166666666,1.676947,True,data/raw/pollice_2021/repository/xyzs/S208_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S208_b3lyp.xyz,benchmark_adc2-acdz_data.txt | benchmark_adc2-pcm-s0_data.txt | benchmark_adc2-pcm-s1_data.txt | benchmark_adc2-pcm-t1_data.txt | benchmark_adc2_data.txt | benchmark_adc3_data.txt | benchmark_cisd_data.txt | benchmark_dh-cpcm_data.txt | benchmark_dh_data.txt | benchmark_dhopt2_data.txt | benchmark_ecc_data.txt | benchmark_fecc-acdz_data.txt | benchmark_fecc_data.txt | benchmark_sasf_data.txt | franck_condon_b3lyp_data.txt,S208,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,benchmark_adc2 | benchmark_adc2-acdz | benchmark_adc2-pcm-s0 | benchmark_adc2-pcm-s1 | benchmark_adc2-pcm-t1 | benchmark_adc3 | benchmark_cisd | benchmark_dh | benchmark_dh-cpcm | benchmark_dhopt2 | benchmark_ecc | benchmark_fecc | benchmark_fecc-acdz | benchmark_sasf | franck_condon_b3lyp,1.5590714285714287,pollice_2021,True,-2.0043643667213766
PSDBBKMUDABEKP-UHFFFAOYSA-N,Nc1ccccc1C1=CC2=CC(c3ccccc3N)=NC3=NC=NC(=N1)N23,PSDBBKMUDABEKP-UHFFFAOYSA-N,7,5,-0.0982,0.02954,0.0565,0.07617347307297995,True,False,0.2264,0.17492546666666667,2.3013044999999996,True,data/raw/pollice_2021/repository/xyzs/S615_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1714_b3lyp.xyz | data/raw/pollice_2021/repository/xyzs/S615_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt | validation_adc2_data.txt | validation_dh_data.txt | validation_dhopt_data.txt | validation_fecc_data.txt,S1714 | S615,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,franck_condon_b3lyp | optimization1_dh | validation_adc2 | validation_dh | validation_dhopt | validation_fecc,2.38548,pollice_2021,True,-0.6451235583011482
PSUYQATVKHPYFF-UHFFFAOYSA-N,CNc1cc(N(c2ccccc2)c2ccccc2)ccc1C1=NC2=CC(C)=CC3=NC(c4ccc(N(c5ccccc5)c5ccccc5)cc4NC)=NC(=N1)N23,PSUYQATVKHPYFF-UHFFFAOYSA-N,2,1,0.002,0.002,0.002,,False,False,0.3997462,0.3266731,2.307923,True,data/raw/pollice_2021/repository/xyzs/S823_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S823_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S823,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.64,pollice_2021,True,-0.4002156451149088
PSVWDDLGXWUXLP-UHFFFAOYSA-N,c1cc2ncc3cnc4cnc(c1)n2c34,PSVWDDLGXWUXLP-UHFFFAOYSA-N,5,4,-0.0796,0.032175,0.02765,0.09544165320585488,True,False,0.0014,0.0009650834800000001,2.682084,True,data/raw/pollice_2021/repository/xyzs/S938_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S938_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S938,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.682025,pollice_2021,True,-2.853868862229399
PSWOIAVCVGCHKK-UHFFFAOYSA-N,N#Cc1ccc(Nc2cc(N3CCCCC3)ccc2C2=CC3=CC(c4ccc(N5CCCCC5)cc4Nc4ccc(C#N)o4)=NC4=NC=NC(=N2)N34)o1,PSWOIAVCVGCHKK-UHFFFAOYSA-N,2,1,0.105,0.105,0.105,,False,False,0.8077745,0.77178725,2.153787,True,data/raw/pollice_2021/repository/xyzs/S753_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S753_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S753,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.522,pollice_2021,True,-0.19770985547527298
PSZQPRZZRDARFE-UHFFFAOYSA-N,c1ccc(Nc2ccccc2-c2nc3ncnc4nc(-c5ccccc5Nc5ccccc5)c5ccc2c5n34)cc1,PSZQPRZZRDARFE-UHFFFAOYSA-N,2,1,0.285,0.285,0.285,,False,False,0.6765,0.50833775,2.431481,True,data/raw/pollice_2021/repository/xyzs/S1252_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1252_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization2_dh_data.txt,S1252,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization2_dh,3.075,pollice_2021,True,-0.45473219264663195
PTCHAYGFCSKDJP-UHFFFAOYSA-N,c1nc2nnc3nncc4cnc1c2n43,PTCHAYGFCSKDJP-UHFFFAOYSA-N,5,4,0.0708,0.253725,0.23504999999999998,0.16609313401422307,False,False,0.0061,0.0035022832,2.266946,True,data/raw/pollice_2021/repository/xyzs/S1095_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S1095_b3lyp.xyz,blue_adc2_data.txt | blue_dh_data.txt | blue_ecc_data.txt | blue_fecc_data.txt | franck_condon_b3lyp_data.txt,S1095,No source-file priority applied; delta_est_ev values are aggregated across all records. Multiple distinct delta_est_ev values are present.,blue_adc2 | blue_dh | blue_ecc | blue_fecc | franck_condon_b3lyp,2.204375,pollice_2021,True,-2.2854694530316495
PTPIXBRCHZSNJA-UHFFFAOYSA-N,NC(=O)C1=C2N=CN=C3N=CN=C(C=C1)N32,PTPIXBRCHZSNJA-UHFFFAOYSA-N,2,1,-0.029,-0.029,-0.029,,True,True,0.0057,0.003912595,2.410907,True,data/raw/pollice_2021/repository/xyzs/S626_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S626_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S626,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.565,pollice_2021,True,-2.2441243824080335
PTWFMQDJGAAKHT-UHFFFAOYSA-N,Oc1ccc(Nc2cc(N3CCCCC3)ccc2C2=CC3=CC(c4ccc(N5CCCCC5)cc4Nc4ccc(O)cc4)=NC4=NC=NC(=N2)N34)cc1,PTWFMQDJGAAKHT-UHFFFAOYSA-N,2,1,0.065,0.065,0.065,,False,False,0.6146216,0.5729607999999999,2.206944,True,data/raw/pollice_2021/repository/xyzs/S671_b3lyp.xyz,data/raw/pollice_2021/repository/xyzs/S671_b3lyp.xyz,franck_condon_b3lyp_data.txt | optimization1_dh_data.txt,S671,No source-file priority applied; delta_est_ev values are aggregated across all records.,franck_condon_b3lyp | optimization1_dh,2.529,pollice_2021,True,-0.27639217408490807
