evaluation,phase,cap_id,bridge_id,core_id,max_oscillator_strength_s1_s3,color_error_eV,conformational_ambiguity,best_so_far_max_oscillator_strength_s1_s3,best_so_far_color_error_eV,best_so_far_conformational_ambiguity,hypervolume_so_far,pareto_count_so_far
1,seeded,A017,B003,C069,0.4501395080345683,0.1209727820349213,1.0,0.4501395080345683,0.1209727820349213,1.0,1.73612864831849,1
2,seeded,A017,B003,C070,0.1124968024435173,0.1732366955849706,3.0,0.4501395080345683,0.1209727820349213,1.0,1.73612864831849,1
3,seeded,A017,B030,C069,0.0316349587783515,0.4233101993113122,1.0,0.4501395080345683,0.1209727820349213,1.0,1.73612864831849,1
4,seeded,A013,B021,C094,0.8108059156826731,0.1361687239546087,5.0,0.8108059156826731,0.1209727820349213,1.0,2.1429760235464532,2
5,seeded,A021,B014,C115,0.0005781277330285,0.4143680696066409,2.0,0.8108059156826731,0.1209727820349213,1.0,2.1429760235464532,2
6,seeded,A017,B002,C094,0.3771483252828405,0.031798105437145,6.0,0.8108059156826731,0.031798105437145,1.0,2.181015282959207,3
7,live,A032,B021,C080,0.8715196917888288,0.0461568593245753,3.0,0.8715196917888288,0.031798105437145,1.0,2.994141415684984,3
8,live,A013,B003,C069,0.2167995262383901,0.0232818916829371,3.0,0.8715196917888288,0.0232818916829371,1.0,3.0146780316495647,4
9,live,A032,B019,C080,0.1015346154846295,0.0965959622009666,1.0,0.8715196917888288,0.0232818916829371,1.0,3.0220377098589397,5
10,live,A032,B009,C080,0.0049159966534851,0.0302289983906929,4.0,0.8715196917888288,0.0232818916829371,1.0,3.0220377098589397,5
11,live,A032,B021,C100,1.063291426039613,0.2184783574544657,3.0,1.063291426039613,0.0232818916829371,1.0,3.391552758865186,6
12,live,A032,B021,C087,0.0585651740700402,0.6501904440269093,2.0,1.063291426039613,0.0232818916829371,1.0,3.391552758865186,6
13,live,A031,B021,C080,0.1844154347047444,0.0231395509844283,6.0,1.063291426039613,0.0231395509844283,1.0,3.391586043430794,7
14,live,A032,B019,C100,0.0683947174935409,0.0531722289872678,2.0,1.063291426039613,0.0231395509844283,1.0,3.396702079592709,8
15,live,A032,B030,C080,0.0548623551192815,0.1355301511648763,2.0,1.063291426039613,0.0231395509844283,1.0,3.396702079592709,8
16,live,A032,B021,C078,0.0735788288532727,0.2000461061988749,1.0,1.063291426039613,0.0231395509844283,1.0,3.396702079592709,8
