param_cap_id,param_bridge_id,param_core_id,obj_max_oscillator_strength_s1_s3,obj_color_error_eV,obj_conformational_ambiguity,result_id,suggestion_id,created_at,evaluation,phase
A017,B003,C069,0.4501395080345683,0.1209727820349213,1.0,aa75e241-1fd1-475a-b733-c441cf2029e9,,2026-06-30 20:33:30.514898+00:00,1,seeded
A017,B002,C094,0.3771483252828405,0.031798105437145,6.0,3ba4ebcf-616e-49fa-874f-0770b11aa5d9,,2026-06-30 20:33:30.514943+00:00,6,seeded
A032,B021,C080,0.8715196917888288,0.0461568593245753,3.0,0b029560-4a49-4f30-9d66-5bbb873c1b28,87dc3948-beff-4cba-a739-d8f615203762,2026-06-30 20:42:42.182841+00:00,7,live
A013,B003,C069,0.2167995262383901,0.0232818916829371,3.0,1ca34c4d-18f7-4b2d-a60a-8ecd2504c2a5,eca5aa3d-5279-445a-b72d-b64b40a29855,2026-06-30 20:42:42.184423+00:00,8,live
A032,B019,C080,0.1015346154846295,0.0965959622009666,1.0,e077980c-8085-4d23-9e93-07f29b8920f3,4265eb60-124f-4617-b1ef-ec16a7d8773d,2026-06-30 20:51:10.404742+00:00,9,live
A032,B021,C100,1.063291426039613,0.2184783574544657,3.0,b00f37fa-c0a5-4782-9cac-a02f064cf8db,59d62157-645a-41df-aeb3-dacbfe9fbcd8,2026-06-30 21:00:14.893029+00:00,11,live
A031,B021,C080,0.1844154347047444,0.0231395509844283,6.0,480155e3-3ce0-4b77-b82b-a90345f3e90e,a4821d88-a222-4c5c-9428-6b3222f3a7b3,2026-06-30 21:07:33.798381+00:00,13,live
A032,B019,C100,0.0683947174935409,0.0531722289872678,2.0,61728e93-a6af-422a-b0c0-68000e29bdf9,00dcc238-f336-4b61-bea3-cea9338633fd,2026-06-30 21:07:33.799922+00:00,14,live
